,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
1003,"7km from Haneda Airport,one bedroom(201)",89759853,Kuninaka,Non-Superhost,3.0,35.584209,139.726868,Private room in house,Private room,2,1.0,1.0,9214.0,1,1125,365,70,4.47,4.67,4.74,4.62,4.63,4.62,4.35,1.41,17,1802,1.0,1.0
1004,"7km from Haneda Airport,one bedroom(202)",89759853,Kuninaka,Non-Superhost,3.0,35.584209,139.726868,Private room in house,Private room,2,1.0,1.0,9214.0,1,1125,361,51,4.33,4.67,4.67,4.73,4.69,4.63,4.45,1.05,18,1802,1.0,1.0
1013,池袋新房 精致全智能别墅!!距离公交车站1分钟!,114328660,Yuga,Superhost,4.0,35.73767,139.70618,Entire house,Entire home/apt,8,3.0,6.0,33143.0,1,180,337,71,4.67,4.69,4.66,4.88,4.93,4.25,4.58,1.45,40,1630,1.0,1.0
1014,KARIO KAMATA Standard Twin Room/9min Haneda Airpt.,133485877,Kario,Non-Superhost,6.0,35.56061,139.71974,Entire apartment,Entire home/apt,3,1.0,3.0,16000.0,2,1125,176,5,5.0,5.0,5.0,4.8,5.0,4.8,5.0,0.21,25,1506,1.0,0.75
1015,KARIO KAMATA SuperiorSingle Room/9min HanedaAirpt.,133485877,Kario,Non-Superhost,6.0,35.56125,139.72174,Entire apartment,Entire home/apt,3,1.0,3.0,16000.0,2,1125,147,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09,25,1506,1.0,0.75
1016,KARIO KAMATA Economy Quad Room/9min Haneda Airpt.,133485877,Kario,Non-Superhost,6.0,35.55914,139.72026,Entire apartment,Entire home/apt,4,1.0,4.0,20457.0,2,1125,174,8,4.75,4.88,4.88,4.38,4.75,4.63,4.88,0.27,25,1506,1.0,0.75
1017,KARIO KAMATA Comfort Triple Room /4min walk from Tokyu Kamata Station /9min to Haneda Airport/7min to 品川,133485877,Kario,Non-Superhost,6.0,35.56093,139.71994,Entire apartment,Entire home/apt,4,1.0,4.0,24000.0,2,1125,145,5,4.8,5.0,4.6,4.6,5.0,5.0,4.4,0.13,25,1506,1.0,0.75
1018,KARIO KAMATA Family Room (A) /4min walk from Tokyu Kamata Station / 9min to Haneda Airport/7min to 品川,133485877,Kario,Non-Superhost,6.0,35.56099,139.72016,Entire apartment,Entire home/apt,5,2.0,4.0,25600.0,2,1125,120,10,4.7,4.6,4.9,4.4,4.9,4.8,4.4,0.42,25,1506,1.0,0.75
1019,KARIO KAMATA Family Room (B) /9min to Haneda Airport/7min to 品川,133485877,Kario,Non-Superhost,6.0,35.56044,139.7218,Entire apartment,Entire home/apt,5,2.0,4.0,25600.0,2,1125,162,3,3.67,3.67,4.67,3.0,4.33,4.33,4.0,0.09,25,1506,1.0,0.75
1020,Airport Direct+4 Bedrooms+Perfect Rooftop View 4F,118606355,Lu,Non-Superhost,2.0,35.70381,139.78653,Entire apartment,Entire home/apt,10,4.0,5.0,14600.0,1,1125,165,73,4.68,4.67,4.84,4.89,4.92,4.54,4.61,1.47,22,1602,2.0,1.0
1023,Suite 5min Walk to Station FREE WiFi English/中文,116335722,Kotaro,Superhost,2.0,35.70019,139.81362,Entire apartment,Entire home/apt,2,1.0,2.0,10500.0,1,1125,137,88,4.92,4.97,4.99,4.98,4.94,4.89,4.86,1.8,25,1617,1.0,1.0
1026,EntireSpaceCentralConvenienCleaning便利干净便宜独享空间整个房源,24087904,Rinrin,Non-Superhost,6.0,35.72968,139.76499,Entire house,Entire home/apt,3,1.0,0.0,29143.0,30,1125,365,87,4.53,4.72,4.76,4.64,4.77,4.78,4.68,1.79,14,2431,1.5,0.75
1027,"Shinjuku Urban Flat 101, 2mins walk to station",62389310,Yuwei,Non-Superhost,12.0,35.6914,139.68277,Entire villa,Entire home/apt,3,1.0,2.0,4312.0,2,1125,365,33,4.73,4.88,4.39,4.82,4.79,4.79,4.73,0.67,38,1958,1.5,1.0
1029,"Cozy Urban Flat N.Shinjuku, 7mins walk to station",62389310,Yuwei,Non-Superhost,12.0,35.69805,139.68926,Entire loft,Entire home/apt,4,1.0,1.0,6522.0,1,360,243,44,4.45,4.57,4.32,4.55,4.58,4.43,4.5,0.89,36,1958,1.5,1.0
1030,"Tokyo Dome, Korakuen. Newly renovated. Downtown -2",44701299,Smile Home,Non-Superhost,16.0,35.72052,139.75161,Private room in hostel,Private room,2,1.0,2.0,1800.0,1,1125,180,77,4.31,4.7,4.29,4.75,4.68,4.61,4.51,1.6,27,2130,1.5,1.0
1031,Haneda FamilyHostel/5min Sta./6min HND airport/2WC,59551877,Harvey & Lei,Superhost,2.0,35.56168,139.72787,Entire house,Entire home/apt,8,3.0,4.0,25000.0,2,1125,100,125,4.98,4.96,4.98,4.95,4.99,4.87,4.89,2.61,53,1977,1.5,1.0
1032,GINZA7 room A there are 7 rooms same floor,37097830,Takashi,Non-Superhost,7.0,35.66647,139.76386,Private room in apartment,Private room,1,1.0,1.0,4059.0,1,30,347,4,4.0,4.25,5.0,5.0,4.5,4.25,3.5,0.1,21,2213,2.5,1.0
1034,D中文可/温馨公寓//Asakusa Kaminarimon /Wi-Fi /4人OK,129690039,Hongyan,Non-Superhost,4.0,35.72273,139.79611,Entire apartment,Entire home/apt,4,1.0,3.0,7800.0,1,1125,89,39,4.67,4.62,4.95,4.72,4.92,4.0,4.77,0.8,20,1532,1.0,1.0
1035,GINZA7 room B,37097830,Takashi,Non-Superhost,7.0,35.6682,139.7639,Private room in apartment,Private room,1,1.0,1.0,3917.0,1,90,344,6,3.33,4.17,4.33,4.6,4.0,4.6,4.0,0.13,24,2213,2.0,1.0
1036,GINZA7 room C,37097830,Takashi,Non-Superhost,7.0,35.66723,139.76401,Private room in apartment,Private room,1,1.0,1.0,3173.0,1,90,344,3,3.67,4.0,4.0,4.33,4.0,4.67,3.33,0.06,20,2213,2.0,1.0
1037,GINZA7 room D,37097830,Takashi,Non-Superhost,7.0,35.66807,139.76382,Private room in apartment,Private room,7,1.0,1.0,2523.0,1,150,347,2,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07,23,2213,2.0,1.0
1038,GINZA7 room E,37097830,Takashi,Non-Superhost,7.0,35.66673,139.76585,Private room in apartment,Private room,1,1.0,1.0,4123.0,3,10,364,7,4.43,5.0,4.57,4.86,5.0,4.71,4.43,0.15,20,2213,2.0,1.0
1039,GINZA7 room F,37097830,Takashi,Non-Superhost,7.0,35.66641,139.76547,Private room in apartment,Private room,7,1.0,1.0,4837.0,1,30,355,3,4.67,5.0,4.67,5.0,5.0,5.0,4.33,0.1,22,2213,2.0,1.0
1040,GINZA7 room G,37097830,Takashi,Non-Superhost,7.0,35.66637,139.76457,Private room in apartment,Private room,1,1.0,1.0,4837.0,1,30,346,21,4.43,4.9,4.62,4.76,4.86,4.95,4.48,0.59,22,2213,2.0,1.0
1041,Kouenji Private Room102,130718682,友政,Superhost,1.0,35.70347,139.65277,Entire apartment,Entire home/apt,2,1.0,1.0,5929.0,1,1125,362,61,4.79,4.9,4.87,4.92,4.95,4.92,4.61,1.26,18,1525,1.0,1.0
1042,50 Nightview/Shinjuku/120㎡ 3BR/Subway 6mins/Wi-Fi,52075941,Hikari,Non-Superhost,11.0,35.68965,139.66792,Entire apartment,Entire home/apt,12,3.0,6.0,90000.0,1,365,340,45,4.78,4.73,4.78,4.78,4.78,4.67,4.71,0.93,28,2036,1.0,1.0
1043,2min walk Shimokitazawa Sta.Free wifi.Near渋谷&新宿,16894613,Mieca,Superhost,4.0,35.66385,139.6692,Entire apartment,Entire home/apt,4,1.0,2.0,8000.0,3,50,130,90,4.92,4.99,4.96,5.0,5.0,4.96,4.87,1.84,34,2590,1.0,1.0
1046,"1 Minutes walk from Station, hotel private room.",136102212,Toshiki,Non-Superhost,1.0,35.70863,139.79198,Room in hotel,Hotel room,1,1.0,1.0,5000.0,1,5,265,108,4.81,4.86,4.78,4.88,4.86,4.89,4.78,2.32,19,1491,1.0,1.0
1048,■良室 駅近 新宿観光 徒歩圏内 ★SHINJUKU★StayCoolTokyo★最寄駅歩４Min■,126352715,Steven And Clair,Superhost,2.0,35.69768,139.70045,Private room in house,Private room,4,1.0,2.0,4657.0,1,28,57,156,4.93,4.92,4.96,4.99,4.99,4.95,4.82,3.23,26,1555,1.0,1.0
1051,"Japanese Modern Villa, just walk to Tokyo Tower!",24858862,Shun,Non-Superhost,2.0,35.64578,139.72713,Entire house,Entire home/apt,6,2.0,4.0,18347.0,1,1125,90,70,4.3,4.42,4.36,4.36,4.7,4.46,4.4,1.43,23,2409,1.0,1.0
